GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:1905245	regulation of aspartic-type peptidase ac...	11	8	5.36	0.09749
GO:2000739	regulation of mesenchymal stem cell diff...	11	8	5.36	0.09749
GO:2001223	negative regulation of neuron migration	11	8	5.36	0.09749
GO:2001280	positive regulation of unsaturated fatty...	11	8	5.36	0.09749
GO:0007032	endosome organization	70	40	34.1	0.09786
GO:0010659	cardiac muscle cell apoptotic process	70	40	34.1	0.09786
GO:0050818	regulation of coagulation	70	40	34.1	0.09786
GO:0051148	negative regulation of muscle cell diffe...	70	40	34.1	0.09786
GO:0003338	metanephros morphogenesis	27	17	13.15	0.09835
GO:0006376	mRNA splice site recognition	27	17	13.15	0.09835
GO:0039694	viral RNA genome replication	27	17	13.15	0.09835
GO:0046688	response to copper ion	27	17	13.15	0.09835
GO:1901385	regulation of voltage-gated calcium chan...	27	17	13.15	0.09835
GO:1903579	negative regulation of ATP metabolic pro...	27	17	13.15	0.09835
GO:1904893	negative regulation of receptor signalin...	27	17	13.15	0.09835
GO:0002830	positive regulation of type 2 immune res...	18	12	8.77	0.09837
GO:0006515	protein quality control for misfolded or...	18	12	8.77	0.09837
GO:0030575	nuclear body organization	18	12	8.77	0.09837
GO:0032515	negative regulation of phosphoprotein ph...	18	12	8.77	0.09837
GO:0032966	negative regulation of collagen biosynth...	18	12	8.77	0.09837
GO:0032986	protein-DNA complex disassembly	18	12	8.77	0.09837
GO:0033194	response to hydroperoxide	18	12	8.77	0.09837
GO:0033574	response to testosterone	18	12	8.77	0.09837
GO:0034471	ncRNA 5'-end processing	18	12	8.77	0.09837
GO:0048291	isotype switching to IgG isotypes	18	12	8.77	0.09837
GO:0051444	negative regulation of ubiquitin-protein...	18	12	8.77	0.09837
GO:0097254	renal tubular secretion	18	12	8.77	0.09837
GO:1901096	regulation of autophagosome maturation	18	12	8.77	0.09837
GO:1901970	positive regulation of mitotic sister ch...	18	12	8.77	0.09837
GO:1902033	regulation of hematopoietic stem cell pr...	18	12	8.77	0.09837
GO:1903911	positive regulation of receptor clusteri...	18	12	8.77	0.09837
GO:1904294	positive regulation of ERAD pathway	18	12	8.77	0.09837
GO:2000136	regulation of cell proliferation involve...	18	12	8.77	0.09837
GO:2000288	positive regulation of myoblast prolifer...	18	12	8.77	0.09837
GO:0010657	muscle cell apoptotic process	120	66	58.46	0.09850
GO:0033120	positive regulation of RNA splicing	53	31	25.82	0.09875
GO:0035272	exocrine system development	53	31	25.82	0.09875
GO:0051403	stress-activated MAPK cascade	53	31	25.82	0.09875
GO:0045834	positive regulation of lipid metabolic p...	157	85	76.48	0.09934
GO:0002792	negative regulation of peptide secretion	72	41	35.07	0.09995
GO:0034394	protein localization to cell surface	72	41	35.07	0.09995
GO:0060986	endocrine hormone secretion	72	41	35.07	0.09995
GO:0016052	carbohydrate catabolic process	159	86	77.46	0.10003
GO:0046661	male sex differentiation	159	86	77.46	0.10003
GO:0007029	endoplasmic reticulum organization	95	53	46.28	0.10024
GO:0006906	vesicle fusion	126	69	61.38	0.10150
GO:0009150	purine ribonucleotide metabolic process	420	218	204.6	0.10161
GO:0010883	regulation of lipid storage	55	32	26.79	0.10168
GO:0042531	positive regulation of tyrosine phosphor...	55	32	26.79	0.10168
GO:0061462	protein localization to lysosome	55	32	26.79	0.10168
GO:0032872	regulation of stress-activated MAPK casc...	40	24	19.49	0.10172
GO:0051438	regulation of ubiquitin-protein transfer...	40	24	19.49	0.10172
GO:0051938	L-glutamate import	40	24	19.49	0.10172
GO:0060236	regulation of mitotic spindle organizati...	40	24	19.49	0.10172
GO:0070884	regulation of calcineurin-NFAT signaling...	40	24	19.49	0.10172
GO:0071634	regulation of transforming growth factor...	40	24	19.49	0.10172
GO:1902807	negative regulation of cell cycle G1/S p...	74	42	36.05	0.10197
GO:0044272	sulfur compound biosynthetic process	128	70	62.35	0.10246
GO:0035249	synaptic transmission, glutamatergic	130	71	63.33	0.10339
GO:0010822	positive regulation of mitochondrion org...	76	43	37.02	0.10392
GO:2000177	regulation of neural precursor cell prol...	132	72	64.3	0.10430
GO:0010596	negative regulation of endothelial cell ...	57	33	27.77	0.10450
GO:0002029	desensitization of G protein-coupled rec...	29	18	14.13	0.10474
GO:0003180	aortic valve morphogenesis	29	18	14.13	0.10474
GO:0021533	cell differentiation in hindbrain	29	18	14.13	0.10474
GO:0042059	negative regulation of epidermal growth ...	29	18	14.13	0.10474
GO:0045730	respiratory burst	29	18	14.13	0.10474
GO:0048199	vesicle targeting, to, from or within Go...	29	18	14.13	0.10474
GO:0048521	negative regulation of behavior	29	18	14.13	0.10474
GO:0050820	positive regulation of coagulation	29	18	14.13	0.10474
GO:0060343	trabecula formation	29	18	14.13	0.10474
GO:0061744	motor behavior	29	18	14.13	0.10474
GO:0070199	establishment of protein localization to...	29	18	14.13	0.10474
GO:1901658	glycosyl compound catabolic process	29	18	14.13	0.10474
GO:1902042	negative regulation of extrinsic apoptot...	29	18	14.13	0.10474
GO:0007098	centrosome cycle	134	73	65.28	0.10519
GO:0043244	regulation of protein-containing complex...	134	73	65.28	0.10519
GO:0060996	dendritic spine development	134	73	65.28	0.10519
GO:0046326	positive regulation of glucose import	42	25	20.46	0.10582
GO:0071711	basement membrane organization	42	25	20.46	0.10582
GO:0071248	cellular response to metal ion	179	96	87.2	0.10623
GO:0099175	regulation of postsynapse organization	138	75	67.23	0.10691
GO:0000423	mitophagy	59	34	28.74	0.10720
GO:0001755	neural crest cell migration	59	34	28.74	0.10720
GO:0060711	labyrinthine layer development	59	34	28.74	0.10720
GO:0072666	establishment of protein localization to...	59	34	28.74	0.10720
GO:0006885	regulation of pH	107	59	52.12	0.10814
GO:0060349	bone morphogenesis	107	59	52.12	0.10814
GO:0000729	DNA double-strand break processing	20	13	9.74	0.10833
GO:0006268	DNA unwinding involved in DNA replicatio...	20	13	9.74	0.10833
GO:0007176	regulation of epidermal growth factor-ac...	20	13	9.74	0.10833
GO:0008334	histone mRNA metabolic process	20	13	9.74	0.10833
GO:0010447	response to acidic pH	20	13	9.74	0.10833
GO:0030150	protein import into mitochondrial matrix	20	13	9.74	0.10833
GO:0036120	cellular response to platelet-derived gr...	20	13	9.74	0.10833
GO:0044539	long-chain fatty acid import into cell	20	13	9.74	0.10833
GO:0050884	neuromuscular process controlling postur...	20	13	9.74	0.10833
GO:0051956	negative regulation of amino acid transp...	20	13	9.74	0.10833
GO:0071071	regulation of phospholipid biosynthetic ...	20	13	9.74	0.10833
GO:0071625	vocalization behavior	20	13	9.74	0.10833
GO:0072079	nephron tubule formation	20	13	9.74	0.10833
GO:1902004	positive regulation of amyloid-beta form...	20	13	9.74	0.10833
GO:1905146	lysosomal protein catabolic process	20	13	9.74	0.10833
GO:0017015	regulation of transforming growth factor...	142	77	69.17	0.10855
GO:0031047	regulatory ncRNA-mediated gene silencing	142	77	69.17	0.10855
GO:0099536	synaptic signaling	894	454	435.5	0.10910
GO:0010821	regulation of mitochondrion organization	144	78	70.15	0.10935
GO:0007632	visual behavior	82	46	39.95	0.10939
GO:0032272	negative regulation of protein polymeriz...	82	46	39.95	0.10939
GO:0016925	protein sumoylation	44	26	21.43	0.10971
GO:0017145	stem cell division	44	26	21.43	0.10971
GO:0045840	positive regulation of mitotic nuclear d...	44	26	21.43	0.10971
GO:0001974	blood vessel remodeling	61	35	29.72	0.10979
GO:0046173	polyol biosynthetic process	61	35	29.72	0.10979
GO:0048524	positive regulation of viral process	61	35	29.72	0.10979
GO:0061097	regulation of protein tyrosine kinase ac...	61	35	29.72	0.10979
GO:0045598	regulation of fat cell differentiation	146	79	71.12	0.11012
GO:0051650	establishment of vesicle localization	195	104	94.99	0.11035
GO:0002026	regulation of the force of heart contrac...	31	19	15.1	0.11068
GO:0015012	heparan sulfate proteoglycan biosyntheti...	31	19	15.1	0.11068
GO:0050654	chondroitin sulfate proteoglycan metabol...	31	19	15.1	0.11068
GO:0060966	regulation of gene silencing by regulato...	31	19	15.1	0.11068
GO:0006413	translational initiation	113	62	55.05	0.11163
GO:0031398	positive regulation of protein ubiquitin...	113	62	55.05	0.11163
GO:0043009	chordate embryonic development	830	422	404.33	0.11171
GO:0044380	protein localization to cytoskeleton	63	36	30.69	0.11227
GO:0046323	glucose import	86	48	41.89	0.11275
GO:0000184	nuclear-transcribed mRNA catabolic proce...	46	27	22.41	0.11340
GO:0001990	regulation of systemic arterial blood pr...	46	27	22.41	0.11340
GO:0009409	response to cold	46	27	22.41	0.11340
GO:0043507	positive regulation of JUN kinase activi...	46	27	22.41	0.11340
GO:0048483	autonomic nervous system development	46	27	22.41	0.11340
GO:0007498	mesoderm development	117	64	57	0.11380
GO:0001682	tRNA 5'-leader removal	13	9	6.33	0.11418
GO:0002756	MyD88-independent toll-like receptor sig...	13	9	6.33	0.11418
GO:0006271	DNA strand elongation involved in DNA re...	13	9	6.33	0.11418
GO:0032275	luteinizing hormone secretion	13	9	6.33	0.11418
GO:0032530	regulation of microvillus organization	13	9	6.33	0.11418
GO:0035437	maintenance of protein localization in e...	13	9	6.33	0.11418
GO:0035864	response to potassium ion	13	9	6.33	0.11418
GO:0038180	nerve growth factor signaling pathway	13	9	6.33	0.11418
GO:0044793	negative regulation by host of viral pro...	13	9	6.33	0.11418
GO:0048304	positive regulation of isotype switching...	13	9	6.33	0.11418
GO:0048548	regulation of pinocytosis	13	9	6.33	0.11418
GO:0051589	negative regulation of neurotransmitter ...	13	9	6.33	0.11418
GO:0061687	detoxification of inorganic compound	13	9	6.33	0.11418
GO:0070141	response to UV-A	13	9	6.33	0.11418
GO:0070914	UV-damage excision repair	13	9	6.33	0.11418
GO:0071305	cellular response to vitamin D	13	9	6.33	0.11418
GO:0090158	endoplasmic reticulum membrane organizat...	13	9	6.33	0.11418
GO:0090713	immunological memory process	13	9	6.33	0.11418
GO:0098908	regulation of neuronal action potential	13	9	6.33	0.11418
GO:0150011	regulation of neuron projection arboriza...	13	9	6.33	0.11418
GO:1900044	regulation of protein K63-linked ubiquit...	13	9	6.33	0.11418
GO:1905671	regulation of lysosome organization	13	9	6.33	0.11418
GO:2000271	positive regulation of fibroblast apopto...	13	9	6.33	0.11418
GO:2000320	negative regulation of T-helper 17 cell ...	13	9	6.33	0.11418
GO:2000489	regulation of hepatic stellate cell acti...	13	9	6.33	0.11418
GO:0051262	protein tetramerization	88	49	42.87	0.11435
GO:0006790	sulfur compound metabolic process	304	159	148.09	0.11443
GO:0010662	regulation of striated muscle cell apopt...	65	37	31.66	0.11466
GO:0035176	social behavior	65	37	31.66	0.11466
GO:0070085	glycosylation	221	117	107.66	0.11578
GO:0030641	regulation of cellular pH	90	50	43.84	0.11589
GO:0035264	multicellular organism growth	223	118	108.63	0.11614
GO:0006346	DNA methylation-dependent heterochromati...	33	20	16.08	0.11622
GO:0030262	apoptotic nuclear changes	33	20	16.08	0.11622
GO:0031338	regulation of vesicle fusion	33	20	16.08	0.11622
GO:0048011	neurotrophin TRK receptor signaling path...	33	20	16.08	0.11622
GO:0071353	cellular response to interleukin-4	33	20	16.08	0.11622
GO:1901797	negative regulation of signal transducti...	33	20	16.08	0.11622
GO:1904646	cellular response to amyloid-beta	33	20	16.08	0.11622
GO:0072175	epithelial tube formation	164	88	79.89	0.11634
GO:0046034	ATP metabolic process	227	120	110.58	0.11684
GO:0010837	regulation of keratinocyte proliferation	48	28	23.38	0.11690
GO:0030851	granulocyte differentiation	48	28	23.38	0.11690
GO:0035774	positive regulation of insulin secretion...	48	28	23.38	0.11690
GO:0042551	neuron maturation	67	38	32.64	0.11695
GO:1903539	protein localization to postsynaptic mem...	67	38	32.64	0.11695
GO:0006836	neurotransmitter transport	229	121	111.56	0.11718
GO:0007039	protein catabolic process in the vacuole	22	14	10.72	0.11731
GO:0019985	translesion synthesis	22	14	10.72	0.11731
GO:0030812	negative regulation of nucleotide catabo...	22	14	10.72	0.11731
GO:0033122	negative regulation of purine nucleotide...	22	14	10.72	0.11731
GO:0045540	regulation of cholesterol biosynthetic p...	22	14	10.72	0.11731
GO:0045820	negative regulation of glycolytic proces...	22	14	10.72	0.11731
GO:0046519	sphingoid metabolic process	22	14	10.72	0.11731
GO:0048172	regulation of short-term neuronal synapt...	22	14	10.72	0.11731
GO:0048243	norepinephrine secretion	22	14	10.72	0.11731
GO:0060307	regulation of ventricular cardiac muscle...	22	14	10.72	0.11731
GO:0071467	cellular response to pH	22	14	10.72	0.11731
GO:0072273	metanephric nephron morphogenesis	22	14	10.72	0.11731
GO:0098969	neurotransmitter receptor transport to p...	22	14	10.72	0.11731
GO:0106118	regulation of sterol biosynthetic proces...	22	14	10.72	0.11731
GO:1902254	negative regulation of intrinsic apoptot...	22	14	10.72	0.11731
GO:1902992	negative regulation of amyloid precursor...	22	14	10.72	0.11731
GO:0006805	xenobiotic metabolic process	92	51	44.82	0.11739
GO:0097581	lamellipodium organization	92	51	44.82	0.11739
GO:0032409	regulation of transporter activity	235	124	114.48	0.11817
GO:0000422	autophagy of mitochondrion	94	52	45.79	0.11885
GO:1990542	mitochondrial transmembrane transport	94	52	45.79	0.11885
GO:0007411	axon guidance	247	130	120.32	0.11996
GO:0017158	regulation of calcium ion-dependent exoc...	50	29	24.36	0.12023
GO:0170036	import into the mitochondrion	50	29	24.36	0.12023
GO:0060828	regulation of canonical Wnt signaling pa...	251	132	122.27	0.12051
GO:0014812	muscle cell migration	131	71	63.82	0.12056
GO:0032206	positive regulation of telomere maintena...	71	40	34.59	0.12127
GO:0002068	glandular epithelial cell development	35	21	17.05	0.12138
GO:0010719	negative regulation of epithelial to mes...	35	21	17.05	0.12138
GO:0043267	negative regulation of potassium ion tra...	35	21	17.05	0.12138
GO:0045745	positive regulation of G protein-coupled...	35	21	17.05	0.12138
GO:1905898	positive regulation of response to endop...	35	21	17.05	0.12138
GO:2001258	negative regulation of cation channel ac...	35	21	17.05	0.12138
GO:0090090	negative regulation of canonical Wnt sig...	135	73	65.76	0.12227
GO:0030534	adult behavior	186	99	90.61	0.12243
GO:0034446	substrate adhesion-dependent cell spread...	100	55	48.71	0.12294
GO:0009161	ribonucleoside monophosphate metabolic p...	52	30	25.33	0.12339
GO:0002065	columnar/cuboidal epithelial cell differ...	139	75	67.71	0.12390
GO:0019751	polyol metabolic process	102	56	49.69	0.12422
GO:0140029	exocytic process	102	56	49.69	0.12422
GO:0030177	positive regulation of Wnt signaling pat...	141	76	68.69	0.12469
GO:0010833	telomere maintenance via telomere length...	75	42	36.54	0.12527
GO:1904377	positive regulation of protein localizat...	75	42	36.54	0.12527
GO:0003417	growth plate cartilage development	24	15	11.69	0.12545
GO:0014856	skeletal muscle cell proliferation	24	15	11.69	0.12545
GO:0030204	chondroitin sulfate metabolic process	24	15	11.69	0.12545
GO:0035751	regulation of lysosomal lumen pH	24	15	11.69	0.12545
GO:0042026	protein refolding	24	15	11.69	0.12545
GO:0050686	negative regulation of mRNA processing	24	15	11.69	0.12545
GO:0060080	inhibitory postsynaptic potential	24	15	11.69	0.12545
GO:0090189	regulation of branching involved in uret...	24	15	11.69	0.12545
GO:0098801	regulation of renal system process	24	15	11.69	0.12545
GO:0099625	ventricular cardiac muscle cell membrane...	24	15	11.69	0.12545
GO:2000269	regulation of fibroblast apoptotic proce...	24	15	11.69	0.12545
GO:0006639	acylglycerol metabolic process	145	78	70.64	0.12620
GO:0007043	cell-cell junction assembly	145	78	70.64	0.12620
GO:0000132	establishment of mitotic spindle orienta...	37	22	18.02	0.12620
GO:0007435	salivary gland morphogenesis	37	22	18.02	0.12620
GO:0033273	response to vitamin	37	22	18.02	0.12620
GO:0035883	enteroendocrine cell differentiation	37	22	18.02	0.12620
GO:0051084	'de novo' post-translational protein fol...	37	22	18.02	0.12620
GO:0090140	regulation of mitochondrial fission	37	22	18.02	0.12620
GO:0000381	regulation of alternative mRNA splicing,...	54	31	26.31	0.12640
GO:0002066	columnar/cuboidal epithelial cell develo...	54	31	26.31	0.12640
GO:0030308	negative regulation of cell growth	204	108	99.38	0.12641
GO:0048511	rhythmic process	313	163	152.48	0.12665
GO:0090596	sensory organ morphogenesis	315	164	153.45	0.12678
GO:0015931	nucleobase-containing compound transport	206	109	100.35	0.12680
GO:0051236	establishment of RNA localization	147	79	71.61	0.12692
GO:1904705	regulation of vascular associated smooth...	77	43	37.51	0.12716
GO:0045216	cell-cell junction organization	208	110	101.33	0.12719
GO:0016042	lipid catabolic process	329	171	160.27	0.12765
GO:0019226	transmission of nerve impulse	108	59	52.61	0.12784
GO:0042158	lipoprotein biosynthetic process	108	59	52.61	0.12784
GO:0032412	regulation of monoatomic ion transmembra...	214	113	104.25	0.12830
GO:0072073	kidney epithelium development	151	81	73.56	0.12832
GO:0002829	negative regulation of type 2 immune res...	15	10	7.31	0.12843
GO:0003198	epithelial to mesenchymal transition inv...	15	10	7.31	0.12843
GO:0014049	positive regulation of glutamate secreti...	15	10	7.31	0.12843
GO:0014733	regulation of skeletal muscle adaptation	15	10	7.31	0.12843
GO:0032308	positive regulation of prostaglandin sec...	15	10	7.31	0.12843
GO:0032905	transforming growth factor beta1 product...	15	10	7.31	0.12843
GO:0039692	single stranded viral RNA replication vi...	15	10	7.31	0.12843
GO:0042754	negative regulation of circadian rhythm	15	10	7.31	0.12843
GO:0042762	regulation of sulfur metabolic process	15	10	7.31	0.12843
GO:0045586	regulation of gamma-delta T cell differe...	15	10	7.31	0.12843
GO:0046643	regulation of gamma-delta T cell activat...	15	10	7.31	0.12843
GO:0051132	NK T cell activation	15	10	7.31	0.12843
GO:0051451	myoblast migration	15	10	7.31	0.12843
GO:0051782	negative regulation of cell division	15	10	7.31	0.12843
GO:0060732	positive regulation of inositol phosphat...	15	10	7.31	0.12843
GO:0061307	cardiac neural crest cell differentiatio...	15	10	7.31	0.12843
GO:0061308	cardiac neural crest cell development in...	15	10	7.31	0.12843
GO:0061548	ganglion development	15	10	7.31	0.12843
GO:0099116	tRNA 5'-end processing	15	10	7.31	0.12843
GO:1904925	positive regulation of autophagy of mito...	15	10	7.31	0.12843
GO:0007006	mitochondrial membrane organization	110	60	53.59	0.12897
GO:0001838	embryonic epithelial tube formation	153	82	74.53	0.12900
GO:0016050	vesicle organization	361	187	175.86	0.12912
GO:0044818	mitotic G2/M transition checkpoint	56	32	27.28	0.12926
GO:0007623	circadian rhythm	226	119	110.09	0.13032
GO:0021680	cerebellar Purkinje cell layer developme...	39	23	19	0.13072
GO:0030513	positive regulation of BMP signaling pat...	39	23	19	0.13072
GO:0031128	developmental induction	39	23	19	0.13072
GO:0034381	plasma lipoprotein particle clearance	39	23	19	0.13072
GO:0060292	long-term synaptic depression	39	23	19	0.13072
GO:0070528	protein kinase C signaling	39	23	19	0.13072
GO:0072078	nephron tubule morphogenesis	81	45	39.46	0.13072
GO:0051496	positive regulation of stress fiber asse...	58	33	28.25	0.13199
GO:0060428	lung epithelium development	58	33	28.25	0.13199
GO:1905144	response to acetylcholine	58	33	28.25	0.13199
GO:0046434	organophosphate catabolic process	238	125	115.94	0.13208
GO:0043473	pigmentation	116	63	56.51	0.13218
GO:0009792	embryo development ending in birth or eg...	847	429	412.61	0.13225
GO:0072088	nephron epithelium morphogenesis	83	46	40.43	0.13241
GO:0006883	intracellular sodium ion homeostasis	26	16	12.67	0.13284
GO:0010155	regulation of proton transport	26	16	12.67	0.13284
GO:0010866	regulation of triglyceride biosynthetic ...	26	16	12.67	0.13284
GO:0045742	positive regulation of epidermal growth ...	26	16	12.67	0.13284
GO:0046039	GTP metabolic process	26	16	12.67	0.13284
GO:0048820	hair follicle maturation	26	16	12.67	0.13284
GO:0051043	regulation of membrane protein ectodomai...	26	16	12.67	0.13284
GO:0097284	hepatocyte apoptotic process	26	16	12.67	0.13284
GO:0099623	regulation of cardiac muscle cell membra...	26	16	12.67	0.13284
GO:1902176	negative regulation of oxidative stress-...	26	16	12.67	0.13284
GO:1903747	regulation of establishment of protein l...	26	16	12.67	0.13284
GO:0097009	energy homeostasis	118	64	57.48	0.13319
GO:0097485	neuron projection guidance	248	130	120.81	0.13337
GO:0006325	chromatin organization	674	343	328.33	0.13346
GO:0003151	outflow tract morphogenesis	85	47	41.41	0.13404
GO:0014855	striated muscle cell proliferation	85	47	41.41	0.13404
GO:0072028	nephron morphogenesis	85	47	41.41	0.13404
GO:0000077	DNA damage checkpoint signaling	122	66	59.43	0.13512
GO:0040014	regulation of multicellular organism gro...	87	48	42.38	0.13560
GO:0061333	renal tubule morphogenesis	87	48	42.38	0.13560
GO:0033135	regulation of peptidyl-serine phosphoryl...	124	67	60.41	0.13604
GO:0010665	regulation of cardiac muscle cell apopto...	62	35	30.2	0.13707
GO:0051058	negative regulation of small GTPase medi...	62	35	30.2	0.13707
GO:0031570	DNA integrity checkpoint signaling	130	70	63.33	0.13866
GO:0032373	positive regulation of sterol transport	43	25	20.95	0.13891
GO:0032376	positive regulation of cholesterol trans...	43	25	20.95	0.13891
GO:0097178	ruffle assembly	43	25	20.95	0.13891
GO:0099174	regulation of presynapse organization	43	25	20.95	0.13891
GO:1903580	positive regulation of ATP metabolic pro...	43	25	20.95	0.13891
GO:0001836	release of cytochrome c from mitochondri...	64	36	31.18	0.13944
GO:0016447	somatic recombination of immunoglobulin ...	64	36	31.18	0.13944
GO:0032413	negative regulation of ion transmembrane...	64	36	31.18	0.13944
GO:0033344	cholesterol efflux	64	36	31.18	0.13944
GO:0021801	cerebral cortex radial glia-guided migra...	28	17	13.64	0.13957
GO:0022030	telencephalon glial cell migration	28	17	13.64	0.13957
GO:0046128	purine ribonucleoside metabolic process	28	17	13.64	0.13957
GO:0046339	diacylglycerol metabolic process	28	17	13.64	0.13957
GO:0060964	regulation of miRNA-mediated gene silenc...	28	17	13.64	0.13957
GO:0070841	inclusion body assembly	28	17	13.64	0.13957
GO:0071577	zinc ion transmembrane transport	28	17	13.64	0.13957
GO:0090208	positive regulation of triglyceride meta...	28	17	13.64	0.13957
GO:2000273	positive regulation of signaling recepto...	28	17	13.64	0.13957
GO:0006486	protein glycosylation	197	104	95.97	0.14030
GO:0043413	macromolecule glycosylation	197	104	95.97	0.14030
GO:0042692	muscle cell differentiation	466	239	227.01	0.14065
GO:0001967	suckling behavior	17	11	8.28	0.14071
GO:0010421	hydrogen peroxide-mediated programmed ce...	17	11	8.28	0.14071
GO:0014819	regulation of skeletal muscle contractio...	17	11	8.28	0.14071
GO:0015697	quaternary ammonium group transport	17	11	8.28	0.14071
GO:0015802	basic amino acid transport	17	11	8.28	0.14071
GO:0032306	regulation of prostaglandin secretion	17	11	8.28	0.14071
GO:0032328	alanine transport	17	11	8.28	0.14071
GO:0032639	TRAIL production	17	11	8.28	0.14071
GO:0032679	regulation of TRAIL production	17	11	8.28	0.14071
GO:0032759	positive regulation of TRAIL production	17	11	8.28	0.14071
GO:0038092	nodal signaling pathway	17	11	8.28	0.14071
GO:0040015	negative regulation of multicellular org...	17	11	8.28	0.14071
GO:0042159	lipoprotein catabolic process	17	11	8.28	0.14071
GO:0042756	drinking behavior	17	11	8.28	0.14071
GO:0042772	DNA damage response, signal transduction...	17	11	8.28	0.14071
GO:0045342	MHC class II biosynthetic process	17	11	8.28	0.14071
GO:0045945	positive regulation of transcription by ...	17	11	8.28	0.14071
GO:0051220	cytoplasmic sequestering of protein	17	11	8.28	0.14071
GO:0060456	positive regulation of digestive system ...	17	11	8.28	0.14071
GO:0060947	cardiac vascular smooth muscle cell diff...	17	11	8.28	0.14071
GO:0061000	negative regulation of dendritic spine d...	17	11	8.28	0.14071
GO:0061179	negative regulation of insulin secretion...	17	11	8.28	0.14071
GO:0061450	trophoblast cell migration	17	11	8.28	0.14071
GO:0070942	neutrophil mediated cytotoxicity	17	11	8.28	0.14071
GO:0071295	cellular response to vitamin	17	11	8.28	0.14071
GO:0071816	tail-anchored membrane protein insertion...	17	11	8.28	0.14071
GO:0071895	odontoblast differentiation	17	11	8.28	0.14071
GO:0072077	renal vesicle morphogenesis	17	11	8.28	0.14071
GO:0090494	dopamine uptake	17	11	8.28	0.14071
GO:0098761	cellular response to interleukin-7	17	11	8.28	0.14071
GO:1903541	regulation of exosomal secretion	17	11	8.28	0.14071
GO:1903587	regulation of blood vessel endothelial c...	17	11	8.28	0.14071
GO:1904355	positive regulation of telomere capping	17	11	8.28	0.14071
GO:1905288	vascular associated smooth muscle cell a...	17	11	8.28	0.14071
GO:1905459	regulation of vascular associated smooth...	17	11	8.28	0.14071
GO:2000047	regulation of cell-cell adhesion mediate...	17	11	8.28	0.14071
GO:0001569	branching involved in blood vessel morph...	45	26	21.92	0.14264
GO:0006904	vesicle docking involved in exocytosis	45	26	21.92	0.14264
GO:0032924	activin receptor signaling pathway	45	26	21.92	0.14264
GO:0009743	response to carbohydrate	213	112	103.76	0.14312
GO:0071241	cellular response to inorganic substance	217	114	105.71	0.14374
GO:0030330	DNA damage response, signal transduction...	68	38	33.13	0.14387
GO:0032233	positive regulation of actin filament bu...	68	38	33.13	0.14387
GO:0048332	mesoderm morphogenesis	68	38	33.13	0.14387
GO:0097006	regulation of plasma lipoprotein particl...	68	38	33.13	0.14387
GO:0045921	positive regulation of exocytosis	99	54	48.23	0.14393
GO:0072080	nephron tubule development	99	54	48.23	0.14393
GO:0050657	nucleic acid transport	144	77	70.15	0.14396
GO:0050658	RNA transport	144	77	70.15	0.14396
GO:0050772	positive regulation of axonogenesis	101	55	49.2	0.14515
GO:0005979	regulation of glycogen biosynthetic proc...	30	18	14.61	0.14574
GO:0006829	zinc ion transport	30	18	14.61	0.14574
GO:0009162	deoxyribonucleoside monophosphate metabo...	30	18	14.61	0.14574
GO:0010592	positive regulation of lamellipodium ass...	30	18	14.61	0.14574
GO:0010962	regulation of glucan biosynthetic proces...	30	18	14.61	0.14574
GO:0022401	negative adaptation of signaling pathway	30	18	14.61	0.14574
GO:0030149	sphingolipid catabolic process	30	18	14.61	0.14574
GO:0033081	regulation of T cell differentiation in ...	30	18	14.61	0.14574
GO:0060004	reflex	30	18	14.61	0.14574
GO:0060147	regulation of post-transcriptional gene ...	30	18	14.61	0.14574
GO:2000272	negative regulation of signaling recepto...	30	18	14.61	0.14574
GO:0009994	oocyte differentiation	70	39	34.1	0.14594
GO:0021695	cerebellar cortex development	70	39	34.1	0.14594
GO:0090278	negative regulation of peptide hormone s...	70	39	34.1	0.14594
GO:0098900	regulation of action potential	70	39	34.1	0.14594
GO:0019432	triglyceride biosynthetic process	47	27	22.9	0.14615
GO:0097106	postsynaptic density organization	47	27	22.9	0.14615
GO:0032259	methylation	243	127	118.38	0.14709
GO:0048593	camera-type eye morphogenesis	154	82	75.02	0.14716
GO:0071326	cellular response to monosaccharide stim...	154	82	75.02	0.14716
GO:0001657	ureteric bud development	105	57	51.15	0.14749
GO:0072163	mesonephric epithelium development	105	57	51.15	0.14749
GO:0072164	mesonephric tubule development	105	57	51.15	0.14749
GO:0060675	ureteric bud morphogenesis	72	40	35.07	0.14793
GO:0006998	nuclear envelope organization	49	28	23.87	0.14946
GO:0008038	neuron recognition	49	28	23.87	0.14946
GO:0042304	regulation of fatty acid biosynthetic pr...	49	28	23.87	0.14946
GO:0007156	homophilic cell adhesion via plasma memb...	109	59	53.1	0.14967
GO:0010660	regulation of muscle cell apoptotic proc...	109	59	53.1	0.14967
GO:0051899	membrane depolarization	109	59	53.1	0.14967
GO:0048678	response to axon injury	74	41	36.05	0.14983
GO:0031507	heterochromatin formation	111	60	54.07	0.15070
GO:0002251	organ or tissue specific immune response	32	19	15.59	0.15139
GO:0015874	norepinephrine transport	32	19	15.59	0.15139
GO:0060317	cardiac epithelial to mesenchymal transi...	32	19	15.59	0.15139
GO:1990806	ligand-gated ion channel signaling pathw...	32	19	15.59	0.15139
GO:0002921	negative regulation of humoral immune re...	19	12	9.26	0.15140
